aa	AA-2312-DFW-DTW	December 15, 2011               08:25 PM    	December 15, 2011     	 A34	December 15, 2011               11:50 PM    	December 15, 2011     	 D32    
gofox	UA-1504-IAH-PHL	7:31 PMDec 15			11:42 PMDec 15		
foxbusiness	UA-1504-IAH-PHL	7:31 PMDec 15			11:42 PMDec 15		
allegiantair	UA-1504-IAH-PHL	7:31 PMDec 15			11:42 PMDec 15		
boston	UA-1504-IAH-PHL	7:31 PMDec 15			11:42 PMDec 15		
orbitz	UA-1504-IAH-PHL	7:31pDec 15		 -	11:42pDec 15		 -
usatoday	UA-1504-IAH-PHL	7:31 PMDec 15			11:42 PMDec 15		
mytripandmore	UA-1504-IAH-PHL	7:31pDec 15		 -	11:42pDec 15		 -
aa	AA-1736-SJU-MIA	December 15, 2011               08:50 PM    	December 15, 2011     	 8	December 15, 2011               10:35 PM    	December 15, 2011     	 D38    
flightexplorer	AA-1736-SJU-MIA	12/15/2011 8:50PM AST			12/15/2011 10:35PM EST		
airtravelcenter	AA-1736-SJU-MIA		12/15/11 9:00 PM (-04:00)			12/15/11 10:28 PM (-05:00)	
myrateplan	AA-1736-SJU-MIA		12/15/11 9:00 PM (-04:00)			12/15/11 10:28 PM (-05:00)	
helloflight	AA-1736-SJU-MIA		12/15/11 9:00 PM (-04:00)			12/15/11 10:28 PM (-05:00)	
flytecomm	AA-1736-SJU-MIA		12/15/11 9:00 PM (-04:00)			12/15/11 10:28 PM (-05:00)	
flights	AA-1736-SJU-MIA	08:50 PM  Thu 15-Dec-2011		E8	10:35 PM  Thu 15-Dec-2011		D38
businesstravellogue	AA-1736-SJU-MIA	08:50 PM  Thu 15-Dec-2011		E8	10:35 PM  Thu 15-Dec-2011		D38
flylouisville	AA-1736-SJU-MIA	08:50 PM  Thu 15-Dec-2011		E8	10:35 PM  Thu 15-Dec-2011		D38
flightview	AA-1736-SJU-MIA	8:50 PM, Dec 15			10:35 PM, Dec 15		
panynj	AA-1736-SJU-MIA	8:50 PM, Dec 15			10:35 PM, Dec 15		
gofox	AA-1736-SJU-MIA	8:50 PM, Dec 15			10:35 PM, Dec 15		
foxbusiness	AA-1736-SJU-MIA	8:50 PM, Dec 15			10:35 PM, Dec 15		
allegiantair	AA-1736-SJU-MIA	8:50 PM, Dec 15			10:35 PM, Dec 15		
boston	AA-1736-SJU-MIA	8:50 PM, Dec 15	Not Available		10:35 PM, Dec 15	Not Available	
travelocity	AA-1736-SJU-MIA	Dec 15 - 8:50pm	Dec 15 - Not Available	8	Dec 15 - 10:35pm	Dec 15 - Not Available	D38
orbitz	AA-1736-SJU-MIA	8:50pDec 15		 8	10:35pDec 15		 D38
weather	AA-1736-SJU-MIA	2011-12-15 08:50 PM	2011-12-15 09:03 PM		2011-12-15 10:35 PM	2011-12-15 10:21 PM	
mia	AA-1736-SJU-MIA				10:35P 12-14-11	2011-12-15  10:36P	
usatoday	AA-1736-SJU-MIA	2011-12-15 08:50 PM	2011-12-15 09:03 PM		2011-12-15 10:35 PM	2011-12-15 10:21 PM	
flightarrival	AA-1736-SJU-MIA	8:50 PM, Dec 15	Not Available		10:35 PM, Dec 15	Not Available	
CO	CO-87-CLE-EWR	Thu., Dec.15, 2011 7:30 a.m.	Thu., Dec.15, 2011 7:27 a.m.		Thu., Dec.15, 2011 9:07 a.m.	Thu., Dec.15, 2011 8:46 a.m.	
airtravelcenter	CO-87-CLE-EWR	12/15/11 7:30 AM (-05:00)			12/15/11 9:07 AM (-05:00)		
myrateplan	CO-87-CLE-EWR	12/15/11 7:30 AM (-05:00)			12/15/11 9:07 AM (-05:00)		
helloflight	CO-87-CLE-EWR	12/15/11 7:30 AM (-05:00)			12/15/11 9:07 AM (-05:00)		
flytecomm	CO-87-CLE-EWR	12/15/11 7:30 AM (-05:00)			12/15/11 9:07 AM (-05:00)		
flights	CO-87-CLE-EWR		2011-12-15 07:27 AM	C24		2011-12-15 08:46 AM	82
businesstravellogue	CO-87-CLE-EWR		2011-12-15 07:27 AM	C24		2011-12-15 08:46 AM	82
flylouisville	CO-87-CLE-EWR		2011-12-15 07:27 AM	C24		2011-12-15 08:46 AM	82
flightstats	CO-87-CLE-EWR	2011-12-15 7:30 AM	2011-12-15 7:27 AM		2011-12-15 9:07 AM	2011-12-15 8:46 AM	
quicktrip	CO-87-CLE-EWR	2011-12-15 7:30 AM	2011-12-15 7:27 AM		2011-12-15 9:07 AM	2011-12-15 8:46 AM	
flightview	CO-87-CLE-EWR		7:38 AMDec 15			8:46 AMDec 15	
panynj	CO-87-CLE-EWR		7:38 AMDec 15			8:46 AMDec 15	
gofox	CO-87-CLE-EWR		7:38 AMDec 15			8:46 AMDec 15	
foxbusiness	CO-87-CLE-EWR		7:38 AMDec 15			8:46 AMDec 15	
allegiantair	CO-87-CLE-EWR		7:38 AMDec 15			8:46 AMDec 15	
boston	CO-87-CLE-EWR		7:38 AMDec 15			8:41 AMDec 15	
orbitz	CO-87-CLE-EWR	7:30aDec 15	7:27aDec 15	 C24	9:07aDec 15	8:46aDec 15	 C82
weather	CO-87-CLE-EWR	2011-12-15 07:30 AM			2011-12-15 09:07 AM		
usatoday	CO-87-CLE-EWR		7:38 AMDec 15			8:41 AMDec 15	
mytripandmore	CO-87-CLE-EWR	7:30aDec 15	7:27aDec 15	 C24	9:07aDec 15	8:46aDec 15	 C82
ua	UA-770-SNA-SFO	Thu, Dec 15 7:15 PM	Thu, Dec 15 7:15 PM	12	Thu, Dec 15 8:46 PM	Thu, Dec 15 8:46 PM	72
flightexplorer	UA-770-SNA-SFO	12/15/2011 7:15PM PST			12/15/2011 8:46PM PST		
airtravelcenter	UA-770-SNA-SFO		12/15/11 7:25 PM (-08:00)			12/15/11 8:25 PM (-08:00)	
myrateplan	UA-770-SNA-SFO		12/15/11 7:25 PM (-08:00)			12/15/11 8:25 PM (-08:00)	
helloflight	UA-770-SNA-SFO		12/15/11 7:25 PM (-08:00)			12/15/11 8:25 PM (-08:00)	
flytecomm	UA-770-SNA-SFO		12/15/11 7:25 PM (-08:00)			12/15/11 8:25 PM (-08:00)	
flights	UA-770-SNA-SFO	2011-12-15 07:15 PM			2011-12-15 08:46 PM		
businesstravellogue	UA-770-SNA-SFO	2011-12-15 07:15 PM			2011-12-15 08:46 PM		
flylouisville	UA-770-SNA-SFO	2011-12-15 07:15 PM			2011-12-15 08:46 PM		
flightview	UA-770-SNA-SFO	7:15 PMDec 15			8:46 PMDec 15		
panynj	UA-770-SNA-SFO	7:15 PMDec 15			8:46 PMDec 15		
gofox	UA-770-SNA-SFO	7:15 PMDec 15			8:46 PMDec 15		
foxbusiness	UA-770-SNA-SFO	7:15 PMDec 15			8:46 PMDec 15		
allegiantair	UA-770-SNA-SFO	7:15 PMDec 15			8:46 PMDec 15		
boston	UA-770-SNA-SFO	7:15 PMDec 15			8:46 PMDec 15		
travelocity	UA-770-SNA-SFO	Dec 15 - 7:15pm	Dec 15 - Not Available	12	Dec 15 - 8:46pm	Dec 15 - Not Available	72
orbitz	UA-770-SNA-SFO	7:15pDec 15		 12	8:46pDec 15		 72
weather	UA-770-SNA-SFO	2011-12-15 07:15 PM			2011-12-15 08:46 PM		
usatoday	UA-770-SNA-SFO	2011-12-15 07:15 PM			2011-12-15 08:46 PM		
mytripandmore	UA-770-SNA-SFO	7:15pDec 15		 12	8:46pDec 15		 72
flightarrival	UA-770-SNA-SFO	2011-12-15 07:15 PM			2011-12-15 08:46 PM		
ua	UA-1529-IAH-DCA	Thu, Dec 15 7:30 AM	Thu, Dec 15 7:38 AM            Delayed	C-29	Thu, Dec 15 11:24 AM	Thu, Dec 15 11:38 AM	12
flightexplorer	UA-1529-IAH-DCA		12/15/2011 8:04AM CST			12/15/2011 11:31AM EST	
airtravelcenter	UA-1529-IAH-DCA	12/15/11 7:30 AM (-06:00)			12/15/11 11:24 AM (-05:00)		
myrateplan	UA-1529-IAH-DCA	12/15/11 7:30 AM (-06:00)			12/15/11 11:24 AM (-05:00)		
helloflight	UA-1529-IAH-DCA	12/15/11 7:30 AM (-06:00)			12/15/11 11:24 AM (-05:00)		
flytecomm	UA-1529-IAH-DCA	12/15/11 7:30 AM (-06:00)			12/15/11 11:24 AM (-05:00)		
flightaware	UA-1529-IAH-DCA	2011-12-15 07:30AM CST	2011-12-15 08:04AM CST	 29 	2011-12-15 10:57AM EST	2011-12-15 11:28AM EST	 12 
wunderground	UA-1529-IAH-DCA	2011-12-15 07:30AM CST	2011-12-15 08:04AM CST	 29 	2011-12-15 10:57AM EST	2011-12-15 11:28AM EST	 12 
flights	UA-1529-IAH-DCA		2011-12-15 07:38 AM	29		2011-12-15 11:24 AM	12
businesstravellogue	UA-1529-IAH-DCA		2011-12-15 07:38 AM	29		2011-12-15 11:24 AM	12
flylouisville	UA-1529-IAH-DCA		2011-12-15 07:38 AM	29		2011-12-15 11:24 AM	12
flightview	UA-1529-IAH-DCA		8:04 AMDec 15			11:31 AMDec 15	
panynj	UA-1529-IAH-DCA		8:04 AMDec 15			11:31 AMDec 15	
gofox	UA-1529-IAH-DCA		8:04 AMDec 15			11:31 AMDec 15	
foxbusiness	UA-1529-IAH-DCA		8:04 AMDec 15			11:31 AMDec 15	
allegiantair	UA-1529-IAH-DCA		8:04 AMDec 15			11:31 AMDec 15	
boston	UA-1529-IAH-DCA		8:04 AMDec 15			11:31 AMDec 15	
orbitz	UA-1529-IAH-DCA	7:30aDec 15	7:38aDec 15	 29	11:52aDec 15		 12
ua	UA-1447-IAH-SNA	Thu, Dec 15 9:05 PM	Thu, Dec 15 9:05 PM            On Time	E15	Thu, Dec 15 10:49 PM	Thu, Dec 15 10:49 PM	9
flightexplorer	UA-1447-IAH-SNA	12/15/2011 9:05PM CST			12/15/2011 10:49PM PST		
airtravelcenter	UA-1447-IAH-SNA	12/15/11 9:05 PM (-06:00)			12/15/11 10:49 PM (-08:00)		
myrateplan	UA-1447-IAH-SNA	12/15/11 9:05 PM (-06:00)			12/15/11 10:49 PM (-08:00)		
helloflight	UA-1447-IAH-SNA	12/15/11 9:05 PM (-06:00)			12/15/11 10:49 PM (-08:00)		
flytecomm	UA-1447-IAH-SNA	12/15/11 9:05 PM (-06:00)			12/15/11 10:49 PM (-08:00)		
flights	UA-1447-IAH-SNA	2011-12-15 09:05 PM		15	2011-12-15 10:49 PM		5
businesstravellogue	UA-1447-IAH-SNA	2011-12-15 09:05 PM		15	2011-12-15 10:49 PM		5
flylouisville	UA-1447-IAH-SNA	2011-12-15 09:05 PM		15	2011-12-15 10:49 PM		5
flightstats	UA-1447-IAH-SNA	2011-12-15 9:05 PM	2011-12-15 9:05 PM (Estimated)		2011-12-15 10:49 PM	2011-12-15 10:49 PM (Estimated)	
quicktrip	UA-1447-IAH-SNA	2011-12-15 9:05 PM	2011-12-15 9:05 PM (Estimated)		2011-12-15 10:49 PM	2011-12-15 10:49 PM (Estimated)	
flightview	UA-1447-IAH-SNA	9:05 PMDec 15			10:49 PMDec 15		
panynj	UA-1447-IAH-SNA	9:05 PMDec 15			10:49 PMDec 15		
gofox	UA-1447-IAH-SNA	9:05 PMDec 15			10:49 PMDec 15		
foxbusiness	UA-1447-IAH-SNA	9:05 PMDec 15			10:49 PMDec 15		
allegiantair	UA-1447-IAH-SNA	9:05 PMDec 15			10:49 PMDec 15		
boston	UA-1447-IAH-SNA	9:05 PMDec 15			10:49 PMDec 15		
orbitz	UA-1447-IAH-SNA	9:05pDec 15		 E15	10:49pDec 15		 9
ifly	UA-1447-IAH-SNA	2011-12-15 9:05 PM	2011-12-15 9:05 PM (Estimated)		2011-12-15 10:49 PM	2011-12-15 10:49 PM (Estimated)	
mytripandmore	UA-1447-IAH-SNA	9:05pDec 15		 E15	10:49pDec 15		 9
ua	UA-6436-LAX-ABQ	Thu, Dec 15 8:50 PM	Thu, Dec 15 8:50 PM	84	Thu, Dec 15 11:48 PM	Thu, Dec 15 11:48 PM	--
airtravelcenter	UA-6436-LAX-ABQ	12/15/11 8:50 PM (-08:00)			12/15/11 11:48 PM (-07:00)		
myrateplan	UA-6436-LAX-ABQ	12/15/11 8:50 PM (-08:00)			12/15/11 11:48 PM (-07:00)		
helloflight	UA-6436-LAX-ABQ	12/15/11 8:50 PM (-08:00)			12/15/11 11:48 PM (-07:00)		
flytecomm	UA-6436-LAX-ABQ	12/15/11 8:50 PM (-08:00)			12/15/11 11:48 PM (-07:00)		
flightaware	UA-6436-LAX-ABQ	2011-12-15 08:50PM PST	2011-12-15 09:00PM PST	 84 	2011-12-15 11:28PM MST	2011-12-15 11:38PM MST	
wunderground	UA-6436-LAX-ABQ	2011-12-15 08:50PM PST	2011-12-15 09:00PM PST	 84 	2011-12-15 11:28PM MST	2011-12-15 11:38PM MST	
flights	UA-6436-LAX-ABQ	08:50 PM  Thu 15-Dec-2011			11:48 PM  Thu 15-Dec-2011		
businesstravellogue	UA-6436-LAX-ABQ	08:50 PM  Thu 15-Dec-2011			11:48 PM  Thu 15-Dec-2011		
flylouisville	UA-6436-LAX-ABQ	08:50 PM  Thu 15-Dec-2011			11:48 PM  Thu 15-Dec-2011		
world-flight-tracker	UA-6436-LAX-ABQ	2011-12-15 8:50 PM	2011-12-15 8:50 PM (Estimated)		2011-12-15 11:48 PM	2011-12-15 11:48 PM (Estimated)	
flightview	UA-6436-LAX-ABQ	8:50 PM, Dec 15			11:48 PM, Dec 15		
panynj	UA-6436-LAX-ABQ	8:50 PM, Dec 15			11:48 PM, Dec 15		
gofox	UA-6436-LAX-ABQ	8:50 PM, Dec 15			11:48 PM, Dec 15		
foxbusiness	UA-6436-LAX-ABQ	8:50 PM, Dec 15			11:48 PM, Dec 15		
allegiantair	UA-6436-LAX-ABQ	8:50 PM, Dec 15			11:48 PM, Dec 15		
boston	UA-6436-LAX-ABQ	8:50 PM, Dec 15	Not Available		11:48 PM, Dec 15	Not Available	
travelocity	UA-6436-LAX-ABQ	Dec 15 - 8:50pm	Dec 15 - Not Available	84	Dec 15 - 11:48pm	Dec 15 - Not Available	CHK
orbitz	UA-6436-LAX-ABQ	8:50pDec 15		 84	11:48pDec 15		 -
weather	UA-6436-LAX-ABQ	2011-12-15 08:50 PM			2011-12-15 11:48 PM		
flightarrival	UA-6436-LAX-ABQ	8:50 PM, Dec 15	Not Available		11:48 PM, Dec 15	Not Available	
ua	UA-567-SFO-YVR	Thu, Dec 15 10:57 AM	Thu, Dec 15 10:57 AM            On Time	75	Thu, Dec 15 1:14 PM	Thu, Dec 15 1:32 PM	77
flightexplorer	UA-567-SFO-YVR	12/15/2011 11:16AM PST			12/15/2011 1:28PM PST		
airtravelcenter	UA-567-SFO-YVR		12/15/11 11:16 AM (-08:00)			12/15/11 1:28 PM (-08:00)	
myrateplan	UA-567-SFO-YVR		12/15/11 11:16 AM (-08:00)			12/15/11 1:28 PM (-08:00)	
helloflight	UA-567-SFO-YVR		12/15/11 11:16 AM (-08:00)			12/15/11 1:28 PM (-08:00)	
flytecomm	UA-567-SFO-YVR		12/15/11 11:16 AM (-08:00)			12/15/11 1:28 PM (-08:00)	
flights	UA-567-SFO-YVR	2011-12-15 10:57 AM		75	2011-12-15 01:14 PM		E77
businesstravellogue	UA-567-SFO-YVR	2011-12-15 10:57 AM		75	2011-12-15 01:14 PM		E77
flylouisville	UA-567-SFO-YVR	2011-12-15 10:57 AM		75	2011-12-15 01:14 PM		E77
flightview	UA-567-SFO-YVR	10:57 AMDec 15			1:32 PMDec 15		
panynj	UA-567-SFO-YVR	10:57 AMDec 15			1:32 PMDec 15		
gofox	UA-567-SFO-YVR	10:57 AMDec 15			1:32 PMDec 15		
foxbusiness	UA-567-SFO-YVR	10:57 AMDec 15			1:32 PMDec 15		
allegiantair	UA-567-SFO-YVR	10:57 AMDec 15			1:32 PMDec 15		
boston	UA-567-SFO-YVR	10:57 AMDec 15			1:09 PMDec 15		
orbitz	UA-567-SFO-YVR	10:57aDec 15		 75	1:50pDec 15		 77
usatoday	UA-567-SFO-YVR	10:57 AMDec 15			1:09 PMDec 15		
flightarrival	UA-567-SFO-YVR	10:57 AMDec 15			1:09 PMDec 15		
ua	UA-883-LAX-MCO	Thu, Dec 15 7:16 AM	Thu, Dec 15 7:15 AM	75B	Thu, Dec 15 2:59 PM	Thu, Dec 15 2:53 PM	46
airtravelcenter	UA-883-LAX-MCO		12/15/11 7:35 AM (-08:00)			12/15/11 2:57 PM (-05:00)	
myrateplan	UA-883-LAX-MCO		12/15/11 7:35 AM (-08:00)			12/15/11 2:57 PM (-05:00)	
helloflight	UA-883-LAX-MCO		12/15/11 7:35 AM (-08:00)			12/15/11 2:57 PM (-05:00)	
flytecomm	UA-883-LAX-MCO		12/15/11 7:35 AM (-08:00)			12/15/11 2:57 PM (-05:00)	
flightaware	UA-883-LAX-MCO	2011-12-15 07:16AM PST	2011-12-15 07:35AM PST	 75B 	2011-12-15 02:50PM EST	2011-12-15 02:58PM EST	 46 
wunderground	UA-883-LAX-MCO	2011-12-15 07:16AM PST	2011-12-15 07:35AM PST	 75B 	2011-12-15 02:50PM EST	2011-12-15 02:58PM EST	 46 
flights	UA-883-LAX-MCO	07:16 AM  Thu 15-Dec-2011		75B	02:59 PM  Thu 15-Dec-2011		46
businesstravellogue	UA-883-LAX-MCO	07:16 AM  Thu 15-Dec-2011		75B	02:59 PM  Thu 15-Dec-2011		46
flylouisville	UA-883-LAX-MCO	07:16 AM  Thu 15-Dec-2011		75B	02:59 PM  Thu 15-Dec-2011		46
world-flight-tracker	UA-883-LAX-MCO	2011-12-15 7:16 AM	2011-12-15 7:15 AM		2011-12-15 2:59 PM	2011-12-15 2:59 PM (Estimated)	
flightview	UA-883-LAX-MCO	7:16 AM, Dec 15	7:35 AM, Dec 15		2:59 PM, Dec 15		
panynj	UA-883-LAX-MCO	7:16 AM, Dec 15	7:35 AM, Dec 15		2:59 PM, Dec 15		
gofox	UA-883-LAX-MCO	7:16 AM, Dec 15	7:35 AM, Dec 15		2:59 PM, Dec 15		
foxbusiness	UA-883-LAX-MCO	7:16 AM, Dec 15	7:35 AM, Dec 15		2:59 PM, Dec 15		
allegiantair	UA-883-LAX-MCO	7:16 AM, Dec 15	7:35 AM, Dec 15		2:59 PM, Dec 15		
boston	UA-883-LAX-MCO	7:16 AM, Dec 15	7:35 AM, Dec 15		2:59 PM, Dec 15	3:05 PM, Dec 15&nbsp(Estimated)	
travelocity	UA-883-LAX-MCO	Dec 15 - Not Available	Dec 15 - 7:34am	75B	Dec 15 - Not Available	Dec 15 - 2:53pm*	46
orbitz	UA-883-LAX-MCO	7:35aDec 15	7:34aDec 15	 75B	2:47pDec 15		 -
weather	UA-883-LAX-MCO	2011-12-15 07:16 AM	2011-12-15 07:35 AM		2011-12-15 02:59 PM	2011-12-15 03:04 PM	
mco	UA-883-LAX-MCO				2011-12-15 Thu  14:59		46?
mytripandmore	UA-883-LAX-MCO	Dec 15 - Not Available	Dec 15 - 7:34am	75B	Dec 15 - Not Available	Dec 15 - 2:53pm*	46
ua	UA-893-SFO-ICN	Thu, Dec 15 11:00 AM	Thu, Dec 15 11:00 AM            On Time	94	Fri, Dec 16 4:20 PM	Fri, Dec 16 3:58 PM	124
airtravelcenter	UA-893-SFO-ICN		12/15/11 11:13 AM (-08:00)			12/16/11 3:10 PM (+09:00)	
myrateplan	UA-893-SFO-ICN		12/15/11 11:13 AM (-08:00)			12/16/11 3:10 PM (+09:00)	
helloflight	UA-893-SFO-ICN		12/15/11 11:13 AM (-08:00)			12/16/11 3:10 PM (+09:00)	
flytecomm	UA-893-SFO-ICN		12/15/11 11:13 AM (-08:00)			12/16/11 3:10 PM (+09:00)	
flights	UA-893-SFO-ICN	2011-12-15 11:00 AM			2011-12-15 04:20 PM		
businesstravellogue	UA-893-SFO-ICN	2011-12-15 11:00 AM			2011-12-15 04:20 PM		
flylouisville	UA-893-SFO-ICN	2011-12-15 11:00 AM			2011-12-15 04:20 PM		
flightview	UA-893-SFO-ICN	11:00 AMDec 15			3:58 PMDec 16		
panynj	UA-893-SFO-ICN	11:00 AMDec 15			3:58 PMDec 16		
gofox	UA-893-SFO-ICN	11:00 AMDec 15			3:58 PMDec 16		
foxbusiness	UA-893-SFO-ICN	11:00 AMDec 15			3:58 PMDec 16		
allegiantair	UA-893-SFO-ICN	11:00 AMDec 15			3:58 PMDec 16		
boston	UA-893-SFO-ICN	11:00 AMDec 15			3:32 PMDec 16		
orbitz	UA-893-SFO-ICN	11:00aDec 15		 94	3:36pDec 15		 -
flightarrival	UA-893-SFO-ICN	11:00 AMDec 15			3:32 PMDec 16		
ua	UA-323-PHL-DEN	Thu, Dec 15 8:10 AM	Thu, Dec 15 8:08 AM	D9	Thu, Dec 15 10:30 AM	Thu, Dec 15 10:14 AM	B39
flightexplorer	UA-323-PHL-DEN		12/15/2011 8:20AM EST			12/15/2011 10:05AM MST	
airtravelcenter	UA-323-PHL-DEN		12/15/11 8:19 AM (-05:00)			12/15/11 10:11 AM (-07:00)	
myrateplan	UA-323-PHL-DEN		12/15/11 8:19 AM (-05:00)			12/15/11 10:11 AM (-07:00)	
helloflight	UA-323-PHL-DEN		12/15/11 8:19 AM (-05:00)			12/15/11 10:11 AM (-07:00)	
flytecomm	UA-323-PHL-DEN		12/15/11 8:19 AM (-05:00)			12/15/11 10:11 AM (-07:00)	
flights	UA-323-PHL-DEN		2011-12-15 08:08 AM	D9		2011-12-15 10:14 AM	B39
businesstravellogue	UA-323-PHL-DEN		2011-12-15 08:08 AM	D9		2011-12-15 10:14 AM	B39
flylouisville	UA-323-PHL-DEN		2011-12-15 08:08 AM	D9		2011-12-15 10:14 AM	B39
flightstats	UA-323-PHL-DEN	2011-12-15 8:10 AM	2011-12-15 8:08 AM		2011-12-15 10:30 AM	2011-12-15 10:14 AM	
quicktrip	UA-323-PHL-DEN	2011-12-15 8:10 AM	2011-12-15 8:08 AM		2011-12-15 10:30 AM	2011-12-15 10:14 AM	
flightview	UA-323-PHL-DEN		8:20 AMDec 15			10:14 AMDec 15	
panynj	UA-323-PHL-DEN		8:20 AMDec 15			10:14 AMDec 15	
gofox	UA-323-PHL-DEN		8:20 AMDec 15			10:14 AMDec 15	
foxbusiness	UA-323-PHL-DEN		8:20 AMDec 15			10:14 AMDec 15	
allegiantair	UA-323-PHL-DEN		8:20 AMDec 15			10:14 AMDec 15	
boston	UA-323-PHL-DEN		8:20 AMDec 15			10:11 AMDec 15	
travelocity	UA-323-PHL-DEN	Dec 15 - Not Available	Dec 15 - 8:20am	D9	Dec 15 - Not Available	Dec 15 - 10:14am	B39
orbitz	UA-323-PHL-DEN	8:10aDec 15	8:08aDec 15	 D9	10:30aDec 15	10:14aDec 15	 B39
weather	UA-323-PHL-DEN	2011-12-15 08:10 AM	2011-12-15 08:20 AM		2011-12-15 10:30 AM	2011-12-15 10:06 AM	
den	UA-323-PHL-DEN				2011-12-15 10:30 AM		B39
phl	UA-323-PHL-DEN	2011-12-15 8:10 AM		D9			
mytripandmore	UA-323-PHL-DEN	Dec 15 - Not Available	Dec 15 - 8:20am	D9	Dec 15 - Not Available	Dec 15 - 10:14am	B39
ua	UA-355-SFO-IAD	Thu, Dec 15 4:44 PM	Thu, Dec 15 4:44 PM	84	Fri, Dec 16 12:44 AM	Fri, Dec 16 12:44 AM	D3
flightexplorer	UA-355-SFO-IAD		12/14/2011 4:47PM PST			12/15/2011 12:07AM EST	
flightexplorer	UA-355-SFO-IAD	12/15/2011 4:44PM PST			12/16/2011 12:44AM EST		
airtravelcenter	UA-355-SFO-IAD		12/15/11 4:54 PM (-08:00)			12/16/11 12:21 AM (-05:00)	
myrateplan	UA-355-SFO-IAD		12/15/11 4:54 PM (-08:00)			12/16/11 12:21 AM (-05:00)	
helloflight	UA-355-SFO-IAD		12/15/11 4:54 PM (-08:00)			12/16/11 12:21 AM (-05:00)	
flytecomm	UA-355-SFO-IAD		12/15/11 4:54 PM (-08:00)			12/16/11 12:21 AM (-05:00)	
flightaware	UA-355-SFO-IAD	2011-12-15 04:44PM PST	2011-12-15 04:54PM PST	 84 	2011-12-15 12:24AM EST	2011-12-15 12:34AM EST	 D3 
wunderground	UA-355-SFO-IAD	2011-12-15 04:44PM PST	2011-12-15 04:54PM PST	 84 	2011-12-15 12:24AM EST	2011-12-15 12:34AM EST	 D3 
flights	UA-355-SFO-IAD	04:44 PM  Thu 15-Dec-2011			12:44 AM  Fri 16-Dec-2011		
businesstravellogue	UA-355-SFO-IAD	04:44 PM  Thu 15-Dec-2011			12:44 AM  Fri 16-Dec-2011		
flylouisville	UA-355-SFO-IAD	04:44 PM  Thu 15-Dec-2011			12:44 AM  Fri 16-Dec-2011		
flightstats	UA-355-SFO-IAD	2011-12-15 4:44 PM	2011-12-15 4:54 PM (Estimated runway)		2011-12-15 12:44 AM	2011-12-15 12:21 AM (Estimated runway)	
quicktrip	UA-355-SFO-IAD	2011-12-15 4:44 PM	2011-12-15 4:54 PM (Estimated runway)		2011-12-15 12:44 AM	2011-12-15 12:21 AM (Estimated runway)	
world-flight-tracker	UA-355-SFO-IAD	2011-12-15 4:44 PM	2011-12-15 4:54 PM (Estimated runway)		2011-12-15 12:44 AM	2011-12-15 12:21 AM (Estimated runway)	
flightview	UA-355-SFO-IAD	4:44 PM, Dec 15		Terminal 3 - 84	12:44 AM, Dec 16		D3
panynj	UA-355-SFO-IAD	4:44 PM, Dec 15		Terminal 3 - 84	12:44 AM, Dec 16		D3
gofox	UA-355-SFO-IAD	4:44 PM, Dec 15			12:44 AM, Dec 16		
foxbusiness	UA-355-SFO-IAD	4:44 PM, Dec 15		Terminal 3 - 84	12:44 AM, Dec 16		D3
allegiantair	UA-355-SFO-IAD	4:44 PM, Dec 15		Terminal 3 - 84	12:44 AM, Dec 16		D3
boston	UA-355-SFO-IAD	4:44 PM, Dec 15	Not Available		12:44 AM, Dec 16	Not Available	
travelocity	UA-355-SFO-IAD	Dec 15 - 4:44pm	Dec 15 - Not Available	84	Dec 15 - 12:44am	Dec 15 - Not Available	D3
orbitz	UA-355-SFO-IAD	4:44pDec 15		 84	12:44aDec 15		 -
weather	UA-355-SFO-IAD	2011-12-15 04:44 PM	2011-12-15 04:48 PM		2011-12-15 12:44 AM	2011-12-15 12:07 AM	
sfo	UA-355-SFO-IAD	2011-12-15 4:44 PM		73			
ifly	UA-355-SFO-IAD	2011-12-15 4:44 PM	2011-12-15 4:54 PM (Estimated runway)		2011-12-15 12:44 AM	2011-12-15 12:21 AM (Estimated runway)	
mytripandmore	UA-355-SFO-IAD	4:44pDec 15		 84	12:44aDec 15		 -
flightwise	UA-355-SFO-IAD	2011-12-15 04:44PM PST	2011-12-15 04:54PM PST	 84 	2011-12-15 12:24AM EST	2011-12-15 12:34AM EST	 D3 
flightarrival	UA-355-SFO-IAD	4:44 PM, Dec 15	Not Available		12:44 AM, Dec 16	Not Available	
CO	CO-1072-EWR-RSW	Thu., Dec.15, 2011 11:00 a.m.	Thu., Dec.15, 2011 10:56 a.m.		Thu., Dec.15, 2011 2:35 p.m.	Thu., Dec.15, 2011 1:45 p.m.	
flightexplorer	CO-1072-EWR-RSW		12/15/2011 11:03AM EST			12/15/2011 1:45PM EST	
airtravelcenter	CO-1072-EWR-RSW	12/15/11 11:00 AM (-05:00)			12/15/11 2:35 PM (-05:00)		
myrateplan	CO-1072-EWR-RSW	12/15/11 11:00 AM (-05:00)			12/15/11 2:35 PM (-05:00)		
helloflight	CO-1072-EWR-RSW	12/15/11 11:00 AM (-05:00)			12/15/11 2:35 PM (-05:00)		
flytecomm	CO-1072-EWR-RSW	12/15/11 11:00 AM (-05:00)			12/15/11 2:35 PM (-05:00)		
