ua	UA-3532-ORD-GRR	Wed, Dec 14 4:48 PM		C2	Wed, Dec 14 6:37 PM		--
wunderground	CO-1072-EWR-RSW	2011-12-14 11:15AM EST	2011-12-14 11:23AM EST	 126 	2011-12-14 01:48PM EST	2011-12-14 01:49PM EST	 C3 
flights	CO-1072-EWR-RSW		2011-12-14 11:11 AM	135		2011-12-14 02:17 PM	C3
businesstravellogue	CO-1072-EWR-RSW		2011-12-14 11:11 AM	135		2011-12-14 02:17 PM	C3
flylouisville	CO-1072-EWR-RSW		2011-12-14 11:11 AM	135		2011-12-14 02:17 PM	C3
flightstats	CO-1072-EWR-RSW	2011-12-14 11:15 AM	2011-12-14 11:11 AM		2011-12-14 2:17 PM	2011-12-14 1:53 PM (Estimated)	
quicktrip	CO-1072-EWR-RSW	2011-12-14 11:15 AM	2011-12-14 11:11 AM		2011-12-14 2:17 PM	2011-12-14 1:53 PM (Estimated)	
flightview	CO-1072-EWR-RSW		11:23 AMDec 14			2:00 PMDec 14	
panynj	CO-1072-EWR-RSW		11:23 AMDec 14			2:00 PMDec 14	
gofox	CO-1072-EWR-RSW		11:23 AMDec 14			2:00 PMDec 14	
foxbusiness	CO-1072-EWR-RSW		11:23 AMDec 14			2:00 PMDec 14	
allegiantair	CO-1072-EWR-RSW		11:23 AMDec 14			2:00 PMDec 14	
boston	CO-1072-EWR-RSW		11:23 AMDec 14			2:00 PMDec 14	
orbitz	CO-1072-EWR-RSW	11:15aDec 14	11:11aDec 14	 C135	1:33pDec 14		 C3
mytripandmore	CO-1072-EWR-RSW	11:15aDec 14	11:11aDec 14	 C135	1:33pDec 14		 C3
flightwise	CO-1072-EWR-RSW	2011-12-14 11:15AM EST	2011-12-14 11:23AM EST	 126 	2011-12-14 01:48PM EST	2011-12-14 01:49PM EST	 C3 
CO	CO-1614-LAX-IAH	Wed., Dec.14, 2011 12:30 a.m.	Wed., Dec.14, 2011 12:32 a.m.		Wed., Dec.14, 2011 5:35 a.m.	Wed., Dec.14, 2011 5:18 a.m.	
flightexplorer	CO-1614-LAX-IAH		12/14/2011 12:41AM PST			12/14/2011 5:16AM CST	
airtravelcenter	CO-1614-LAX-IAH	12/14/11 12:30 AM (-08:00)			12/14/11 5:35 AM (-06:00)		
myrateplan	CO-1614-LAX-IAH	12/14/11 12:30 AM (-08:00)			12/14/11 5:35 AM (-06:00)		
helloflight	CO-1614-LAX-IAH	12/14/11 12:30 AM (-08:00)			12/14/11 5:35 AM (-06:00)		
flytecomm	CO-1614-LAX-IAH	12/14/11 12:30 AM (-08:00)			12/14/11 5:35 AM (-06:00)		
flights	CO-1614-LAX-IAH		2011-12-14 12:32 AM	60		2011-12-14 05:18 AM	32
businesstravellogue	CO-1614-LAX-IAH		2011-12-14 12:32 AM	60		2011-12-14 05:18 AM	32
flylouisville	CO-1614-LAX-IAH		2011-12-14 12:32 AM	60		2011-12-14 05:18 AM	32
flightstats	CO-1614-LAX-IAH	2011-12-14 12:30 AM	2011-12-14 12:32 AM		2011-12-14 5:35 AM	2011-12-14 5:18 AM	
quicktrip	CO-1614-LAX-IAH	2011-12-14 12:30 AM	2011-12-14 12:32 AM		2011-12-14 5:35 AM	2011-12-14 5:18 AM	
flightview	CO-1614-LAX-IAH		12:43 AMDec 14			5:18 AMDec 14	
panynj	CO-1614-LAX-IAH		12:43 AMDec 14			5:18 AMDec 14	
gofox	CO-1614-LAX-IAH		12:43 AMDec 14			5:18 AMDec 14	
foxbusiness	CO-1614-LAX-IAH		12:43 AMDec 14			5:18 AMDec 14	
allegiantair	CO-1614-LAX-IAH		12:43 AMDec 14			5:18 AMDec 14	
boston	CO-1614-LAX-IAH		12:43 AMDec 14			5:16 AMDec 14	
orbitz	CO-1614-LAX-IAH	12:30aDec 14	12:32aDec 14	 60	5:35aDec 14	5:18aDec 14	 32
weather	CO-1614-LAX-IAH	2011-12-14 12:30 AM			2011-12-14 05:35 AM		
ifly	CO-1614-LAX-IAH	2011-12-14 12:30 AM	2011-12-14 12:32 AM		2011-12-14 5:35 AM	2011-12-14 5:18 AM	
usatoday	CO-1614-LAX-IAH	2011-12-14 12:30 AM	2011-12-14 12:32 AM		2011-12-14 5:35 AM	2011-12-14 5:18 AM	
aa	AA-3806-LAX-PHX	December 14, 2011               03:05 PM    	December 14, 2011               02:58 PM    	 44J	December 14, 2011               05:20 PM    	December 14, 2011               05:18 PM    	 2    
flightexplorer	AA-3806-LAX-PHX		12/14/2011 3:08PM PST			12/14/2011 5:09PM MST	
airtravelcenter	AA-3806-LAX-PHX		12/14/11 3:08 PM (-08:00)			12/14/11 5:00 PM (-07:00)	
myrateplan	AA-3806-LAX-PHX		12/14/11 3:08 PM (-08:00)			12/14/11 5:00 PM (-07:00)	
helloflight	AA-3806-LAX-PHX		12/14/11 3:08 PM (-08:00)			12/14/11 5:00 PM (-07:00)	
flytecomm	AA-3806-LAX-PHX		12/14/11 3:08 PM (-08:00)			12/14/11 5:00 PM (-07:00)	
flightaware	AA-3806-LAX-PHX	2011-12-14 03:05PM PST	2011-12-14 03:08PM PST	 44J 	2011-12-14 05:13PM MST	2011-12-14 05:00PM MST	 2 
wunderground	AA-3806-LAX-PHX	2011-12-14 03:05PM PST	2011-12-14 03:08PM PST	 44J 	2011-12-14 05:13PM MST	2011-12-14 05:00PM MST	 2 
flights	AA-3806-LAX-PHX	03:05 PM  Wed 14-Dec-2011	02:58 PM  Wed 14-Dec-2011	44	05:20 PM  Wed 14-Dec-2011	05:18 PM  Wed 14-Dec-2011	2
businesstravellogue	AA-3806-LAX-PHX	03:05 PM  Wed 14-Dec-2011	02:58 PM  Wed 14-Dec-2011	44	05:20 PM  Wed 14-Dec-2011	05:18 PM  Wed 14-Dec-2011	2
flylouisville	AA-3806-LAX-PHX	03:05 PM  Wed 14-Dec-2011	02:58 PM  Wed 14-Dec-2011	44	05:20 PM  Wed 14-Dec-2011	05:18 PM  Wed 14-Dec-2011	2
flightstats	AA-3806-LAX-PHX	2011-12-14 3:05 PM	2011-12-14 2:58 PM		2011-12-14 5:20 PM	2011-12-14 5:18 PM	
quicktrip	AA-3806-LAX-PHX	2011-12-14 3:05 PM	2011-12-14 2:58 PM		2011-12-14 5:20 PM	2011-12-14 5:18 PM	
world-flight-tracker	AA-3806-LAX-PHX	2011-12-14 3:05 PM	2011-12-14 2:58 PM		2011-12-14 5:20 PM	2011-12-14 5:18 PM	
flightview	AA-3806-LAX-PHX	3:05 PM, Dec 14	3:08 PM, Dec 14	Terminal 4 - 44J	5:20 PM, Dec 14	5:18 PM, Dec 14	Terminal 3 - 2
panynj	AA-3806-LAX-PHX	3:05 PM, Dec 14	3:08 PM, Dec 14	Terminal 4 - 44J	5:20 PM, Dec 14	5:18 PM, Dec 14	Terminal 3 - 2
gofox	AA-3806-LAX-PHX	3:05 PM, Dec 14	3:08 PM, Dec 14		5:20 PM, Dec 14	5:18 PM, Dec 14	
foxbusiness	AA-3806-LAX-PHX	3:05 PM, Dec 14	3:08 PM, Dec 14	Terminal 4 - 44J	5:20 PM, Dec 14	5:18 PM, Dec 14	Terminal 3 - 2
allegiantair	AA-3806-LAX-PHX	3:05 PM, Dec 14	3:08 PM, Dec 14	Terminal 4 - 44J	5:20 PM, Dec 14	5:18 PM, Dec 14	Terminal 3 - 2
boston	AA-3806-LAX-PHX	3:05 PM, Dec 14	3:08 PM, Dec 14		5:20 PM, Dec 14	5:12 PM, Dec 14	
travelocity	AA-3806-LAX-PHX	Dec 14 - 3:05pm	Dec 14 - 2:58pm	44J/T4	Dec 14 - 5:20pm	Dec 14 - 5:18pm	2
orbitz	AA-3806-LAX-PHX	3:05pDec 14	2:58pDec 14	 44J	5:20pDec 14	5:18pDec 14	 2
weather	AA-3806-LAX-PHX	2011-12-14 03:05 PM			2011-12-14 05:20 PM		
flightwise	AA-3806-LAX-PHX	2011-12-14 03:05PM PST	2011-12-14 03:08PM PST	 44J 	2011-12-14 05:13PM MST	2011-12-14 05:00PM MST	 2 
flightarrival	AA-3806-LAX-PHX	2011-12-14 03:05 PM			2011-12-14 05:20 PM		
CO	CO-4844-EWR-ROC	Wed., Dec.14, 2011 5:10 p.m.	Wed., Dec.14, 2011 5:28 p.m.		Wed., Dec.14, 2011 6:35 p.m.	Wed., Dec.14, 2011 7:03 p.m.	
airtravelcenter	CO-4844-EWR-ROC		12/14/11 5:45 PM (-05:00)			12/14/11 6:46 PM (-05:00)	
myrateplan	CO-4844-EWR-ROC		12/14/11 5:45 PM (-05:00)			12/14/11 6:46 PM (-05:00)	
helloflight	CO-4844-EWR-ROC		12/14/11 5:45 PM (-05:00)			12/14/11 6:46 PM (-05:00)	
flytecomm	CO-4844-EWR-ROC		12/14/11 5:45 PM (-05:00)			12/14/11 6:46 PM (-05:00)	
flights	CO-4844-EWR-ROC		2011-12-14 05:28 PM	114		2011-12-14 07:03 PM	B2
businesstravellogue	CO-4844-EWR-ROC		2011-12-14 05:28 PM	114		2011-12-14 07:03 PM	B2
flylouisville	CO-4844-EWR-ROC		2011-12-14 05:28 PM	114		2011-12-14 07:03 PM	B2
flightstats	CO-4844-EWR-ROC	2011-12-14 5:10 PM	2011-12-14 5:28 PM		2011-12-14 6:35 PM	2011-12-14 7:03 PM	
quicktrip	CO-4844-EWR-ROC	2011-12-14 5:10 PM	2011-12-14 5:28 PM		2011-12-14 6:35 PM	2011-12-14 7:03 PM	
flightview	CO-4844-EWR-ROC		5:45 PMDec 14			7:03 PMDec 14	
panynj	CO-4844-EWR-ROC		5:45 PMDec 14			7:03 PMDec 14	
gofox	CO-4844-EWR-ROC		5:45 PMDec 14			7:03 PMDec 14	
foxbusiness	CO-4844-EWR-ROC		5:45 PMDec 14			7:03 PMDec 14	
allegiantair	CO-4844-EWR-ROC		5:45 PMDec 14			7:03 PMDec 14	
boston	CO-4844-EWR-ROC		5:45 PMDec 14			6:54 PMDec 14	
orbitz	CO-4844-EWR-ROC	5:10pDec 14	5:28pDec 14	 -	6:35pDec 14	7:03pDec 14	 -
ifly	CO-4844-EWR-ROC	2011-12-14 5:10 PM	2011-12-14 5:28 PM		2011-12-14 6:35 PM	2011-12-14 7:03 PM	
usatoday	CO-4844-EWR-ROC		5:45 PMDec 14			6:54 PMDec 14	
aa	AA-1279-DFW-PHX	December 14, 2011               01:00 PM    	December 14, 2011               12:59 PM    	 A29	December 14, 2011               02:35 PM    	December 14, 2011               02:43 PM    	 4    
flightexplorer	AA-1279-DFW-PHX		12/14/2011 1:15PM CST			12/14/2011 2:30PM MST	
airtravelcenter	AA-1279-DFW-PHX		12/14/11 1:15 PM (-06:00)			12/14/11 2:30 PM (-07:00)	
myrateplan	AA-1279-DFW-PHX		12/14/11 1:15 PM (-06:00)			12/14/11 2:30 PM (-07:00)	
helloflight	AA-1279-DFW-PHX		12/14/11 1:15 PM (-06:00)			12/14/11 2:30 PM (-07:00)	
flytecomm	AA-1279-DFW-PHX		12/14/11 1:15 PM (-06:00)			12/14/11 2:30 PM (-07:00)	
flightaware	AA-1279-DFW-PHX	2011-12-14 01:00PM CST	2011-12-14 01:15PM CST	 A29 	2011-12-14 02:24PM MST	2011-12-14 02:36PM MST	 4 
wunderground	AA-1279-DFW-PHX	2011-12-14 01:00PM CST	2011-12-14 01:15PM CST	 A29 	2011-12-14 02:24PM MST	2011-12-14 02:36PM MST	 4 
flights	AA-1279-DFW-PHX	01:00 PM  Wed 14-Dec-2011	12:59 PM  Wed 14-Dec-2011	A29	02:35 PM  Wed 14-Dec-2011	02:43 PM  Wed 14-Dec-2011	4
businesstravellogue	AA-1279-DFW-PHX	01:00 PM  Wed 14-Dec-2011	12:59 PM  Wed 14-Dec-2011	A29	02:35 PM  Wed 14-Dec-2011	02:43 PM  Wed 14-Dec-2011	4
flylouisville	AA-1279-DFW-PHX	01:00 PM  Wed 14-Dec-2011	12:59 PM  Wed 14-Dec-2011	A29	02:35 PM  Wed 14-Dec-2011	02:43 PM  Wed 14-Dec-2011	4
flightstats	AA-1279-DFW-PHX	2011-12-14 1:00 PM	2011-12-14 12:59 PM		2011-12-14 2:35 PM	2011-12-14 2:43 PM	
quicktrip	AA-1279-DFW-PHX	2011-12-14 1:00 PM	2011-12-14 12:59 PM		2011-12-14 2:35 PM	2011-12-14 2:43 PM	
world-flight-tracker	AA-1279-DFW-PHX	2011-12-14 1:00 PM	2011-12-14 12:59 PM		2011-12-14 2:35 PM	2011-12-14 2:43 PM	
flightview	AA-1279-DFW-PHX	1:00 PM, Dec 14	1:15 PM, Dec 14	A29	2:35 PM, Dec 14	2:38 PM, Dec 14	Terminal 3
panynj	AA-1279-DFW-PHX	1:00 PM, Dec 14	1:15 PM, Dec 14	A29	2:35 PM, Dec 14	2:38 PM, Dec 14	Terminal 3
gofox	AA-1279-DFW-PHX	1:00 PM, Dec 14	1:15 PM, Dec 14		2:35 PM, Dec 14	2:38 PM, Dec 14	
foxbusiness	AA-1279-DFW-PHX	1:00 PM, Dec 14	1:15 PM, Dec 14	A29	2:35 PM, Dec 14	2:38 PM, Dec 14	Terminal 3
allegiantair	AA-1279-DFW-PHX	1:00 PM, Dec 14	1:15 PM, Dec 14	A29	2:35 PM, Dec 14	2:38 PM, Dec 14	Terminal 3
boston	AA-1279-DFW-PHX	1:00 PM, Dec 14	1:15 PM, Dec 14		2:35 PM, Dec 14	2:38 PM, Dec 14	
travelocity	AA-1279-DFW-PHX	Dec 14 - 1:00pm	Dec 14 - 12:59pm	A29/A	Dec 14 - 2:35pm	Dec 14 - 2:43pm	4/3
orbitz	AA-1279-DFW-PHX	1:00pDec 14	12:59pDec 14	 A29	2:35pDec 14	2:43pDec 14	 4
weather	AA-1279-DFW-PHX	2011-12-14 01:00 PM	2011-12-14 01:15 PM		2011-12-14 02:35 PM	2011-12-14 02:51 PM	
dfw	AA-1279-DFW-PHX	2011-12-14 1:00 pm		A29			
ifly	AA-1279-DFW-PHX	2011-12-14 1:00 PM	2011-12-14 12:59 PM		2011-12-14 2:35 PM	2011-12-14 2:43 PM	
usatoday	AA-1279-DFW-PHX	1:00 PM, Dec 14	1:15 PM, Dec 14		2:35 PM, Dec 14	2:38 PM, Dec 14	
aa	AA-1201-ORD-STL	December 14, 2011               03:10 PM    	December 14, 2011               04:00 PM    	 H15	December 14, 2011               04:15 PM    	December 14, 2011     	 D18    
flightexplorer	AA-1201-ORD-STL		12/14/2011 4:36PM CST			12/14/2011 5:28PM CST	
airtravelcenter	AA-1201-ORD-STL		12/14/11 4:36 PM (-06:00)			12/14/11 5:32 PM (-06:00)	
myrateplan	AA-1201-ORD-STL		12/14/11 4:36 PM (-06:00)			12/14/11 5:32 PM (-06:00)	
helloflight	AA-1201-ORD-STL		12/14/11 4:36 PM (-06:00)			12/14/11 5:32 PM (-06:00)	
flytecomm	AA-1201-ORD-STL		12/14/11 4:36 PM (-06:00)			12/14/11 5:32 PM (-06:00)	
flightaware	AA-1201-ORD-STL	2011-12-14 03:10PM CST	2011-12-14 04:36PM CST	 H15 	2011-12-14 04:14PM CST	2011-12-14 05:28PM CST	 D18 
wunderground	AA-1201-ORD-STL	2011-12-14 03:10PM CST	2011-12-14 04:36PM CST	 H15 	2011-12-14 04:14PM CST	2011-12-14 05:28PM CST	 D18 
flights	AA-1201-ORD-STL		2011-12-14 04:00 PM	H15		2011-12-14 04:15 PM	D18
businesstravellogue	AA-1201-ORD-STL		2011-12-14 04:00 PM	H15		2011-12-14 04:15 PM	D18
flylouisville	AA-1201-ORD-STL		2011-12-14 04:00 PM	H15		2011-12-14 04:15 PM	D18
flightview	AA-1201-ORD-STL		4:36 PMDec 14			5:38 PMDec 14	
panynj	AA-1201-ORD-STL		4:36 PMDec 14			5:38 PMDec 14	
gofox	AA-1201-ORD-STL		4:36 PMDec 14			5:38 PMDec 14	
foxbusiness	AA-1201-ORD-STL		4:36 PMDec 14			5:38 PMDec 14	
allegiantair	AA-1201-ORD-STL		4:36 PMDec 14			5:38 PMDec 14	
boston	AA-1201-ORD-STL		4:36 PMDec 14			5:38 PMDec 14	
orbitz	AA-1201-ORD-STL	3:55pDec 14	4:00pDec 14	 H15	6:57pDec 14		 D18
ord	AA-1201-ORD-STL	2011-12-14 3:10 PM		H15	2011-12-14 4:15 PM		D18
usatoday	AA-1201-ORD-STL		4:36 PMDec 14			5:38 PMDec 14	
mytripandmore	AA-1201-ORD-STL	3:55pDec 14	4:00pDec 14	 H15	6:57pDec 14		 D18
flightwise	AA-1201-ORD-STL	2011-12-14 03:10PM CST	2011-12-14 04:36PM CST	 H15 	2011-12-14 04:14PM CST	2011-12-14 05:28PM CST	 D18 
aa	AA-971-MIA-SJO	December 14, 2011               09:25 AM    	December 14, 2011               09:30 AM    	 D48	December 14, 2011               11:10 AM    	December 14, 2011               11:24 AM    	 3    
airtravelcenter	AA-971-MIA-SJO		12/14/11 9:50 AM (-05:00)			12/14/11 11:19 AM (-06:00)	
myrateplan	AA-971-MIA-SJO		12/14/11 9:50 AM (-05:00)			12/14/11 11:19 AM (-06:00)	
helloflight	AA-971-MIA-SJO		12/14/11 9:50 AM (-05:00)			12/14/11 11:19 AM (-06:00)	
flytecomm	AA-971-MIA-SJO		12/14/11 9:50 AM (-05:00)			12/14/11 11:19 AM (-06:00)	
flights	AA-971-MIA-SJO	09:25 AM  Wed 14-Dec-2011	09:30 AM  Wed 14-Dec-2011	D48	11:10 AM  Wed 14-Dec-2011	11:24 AM  Wed 14-Dec-2011	3
businesstravellogue	AA-971-MIA-SJO	09:25 AM  Wed 14-Dec-2011	09:30 AM  Wed 14-Dec-2011	D48	11:10 AM  Wed 14-Dec-2011	11:24 AM  Wed 14-Dec-2011	3
flylouisville	AA-971-MIA-SJO	09:25 AM  Wed 14-Dec-2011	09:30 AM  Wed 14-Dec-2011	D48	11:10 AM  Wed 14-Dec-2011	11:24 AM  Wed 14-Dec-2011	3
world-flight-tracker	AA-971-MIA-SJO	2011-12-14 9:25 AM	2011-12-14 9:30 AM		2011-12-14 11:10 AM	2011-12-14 11:24 AM	
flightview	AA-971-MIA-SJO	9:25 AM, Dec 14	9:50 AM, Dec 14	Terminal D - D48	11:10 AM, Dec 14	11:04 AM, Dec 14	Terminal M
panynj	AA-971-MIA-SJO	9:25 AM, Dec 14	9:50 AM, Dec 14	Terminal D - D48	11:10 AM, Dec 14	11:04 AM, Dec 14	Terminal M
gofox	AA-971-MIA-SJO	9:25 AM, Dec 14	9:50 AM, Dec 14		11:10 AM, Dec 14	11:04 AM, Dec 14	
foxbusiness	AA-971-MIA-SJO	9:25 AM, Dec 14	9:50 AM, Dec 14	Terminal D - D48	11:10 AM, Dec 14	11:04 AM, Dec 14	Terminal M
allegiantair	AA-971-MIA-SJO	9:25 AM, Dec 14	9:50 AM, Dec 14	Terminal D - D48	11:10 AM, Dec 14	11:04 AM, Dec 14	Terminal M
boston	AA-971-MIA-SJO	9:25 AM, Dec 14	9:50 AM, Dec 14		11:10 AM, Dec 14	11:04 AM, Dec 14	
travelocity	AA-971-MIA-SJO	Dec 14 - 9:25am	Dec 14 - 9:30am	D48	Dec 14 - 11:10am	Dec 14 - 11:24am	3
orbitz	AA-971-MIA-SJO	9:30aDec 14	9:30aDec 14	 D48	11:10aDec 14	11:24aDec 14	 3
weather	AA-971-MIA-SJO	2011-12-14 09:25 AM			2011-12-14 11:10 AM		
mytripandmore	AA-971-MIA-SJO	9:30aDec 14	9:30aDec 14	 D48	11:10aDec 14	11:24aDec 14	 3
flightarrival	AA-971-MIA-SJO	2011-12-14 09:25 AM			2011-12-14 11:10 AM		
aa	AA-2459-DFW-LAX	December 14, 2011               04:45 PM    	December 14, 2011               04:45 PM    	 A22	December 14, 2011               06:10 PM    	December 14, 2011               05:51 PM    	 46B    
flightexplorer	AA-2459-DFW-LAX		12/14/2011 4:57PM CST			12/14/2011 5:47PM PST	
airtravelcenter	AA-2459-DFW-LAX		12/14/11 4:57 PM (-06:00)			12/14/11 5:47 PM (-08:00)	
myrateplan	AA-2459-DFW-LAX		12/14/11 4:57 PM (-06:00)			12/14/11 5:47 PM (-08:00)	
helloflight	AA-2459-DFW-LAX		12/14/11 4:57 PM (-06:00)			12/14/11 5:47 PM (-08:00)	
flytecomm	AA-2459-DFW-LAX		12/14/11 4:57 PM (-06:00)			12/14/11 5:47 PM (-08:00)	
flightaware	AA-2459-DFW-LAX	2011-12-14 04:45PM CST	2011-12-14 04:56PM CST	 A22 	2011-12-14 05:53PM PST	2011-12-14 05:47PM PST	 46B 
wunderground	AA-2459-DFW-LAX	2011-12-14 04:45PM CST	2011-12-14 04:56PM CST	 A22 	2011-12-14 05:53PM PST	2011-12-14 05:47PM PST	 46B 
flights	AA-2459-DFW-LAX		2011-12-14 04:45 PM	A22		2011-12-14 05:51 PM	46B
businesstravellogue	AA-2459-DFW-LAX		2011-12-14 04:45 PM	A22		2011-12-14 05:51 PM	46B
flylouisville	AA-2459-DFW-LAX		2011-12-14 04:45 PM	A22		2011-12-14 05:51 PM	46B
flightstats	AA-2459-DFW-LAX	2011-12-14 4:45 PM	2011-12-14 4:45 PM		2011-12-14 6:10 PM	2011-12-14 5:51 PM	
quicktrip	AA-2459-DFW-LAX	2011-12-14 4:45 PM	2011-12-14 4:45 PM		2011-12-14 6:10 PM	2011-12-14 5:51 PM	
flightview	AA-2459-DFW-LAX		4:57 PMDec 14			5:51 PMDec 14	
panynj	AA-2459-DFW-LAX		4:57 PMDec 14			5:51 PMDec 14	
gofox	AA-2459-DFW-LAX		4:57 PMDec 14			5:51 PMDec 14	
foxbusiness	AA-2459-DFW-LAX		4:57 PMDec 14			5:51 PMDec 14	
allegiantair	AA-2459-DFW-LAX		4:57 PMDec 14			5:51 PMDec 14	
boston	AA-2459-DFW-LAX		4:57 PMDec 14			5:48 PMDec 14	
orbitz	AA-2459-DFW-LAX	4:45pDec 14	4:45pDec 14	 A22	6:10pDec 14	5:51pDec 14	 46B
dfw	AA-2459-DFW-LAX	2011-12-14 4:45 pm		A22			
mytripandmore	AA-2459-DFW-LAX	4:45pDec 14	4:45pDec 14	 A22	6:10pDec 14	5:51pDec 14	 46B
flightwise	AA-2459-DFW-LAX	2011-12-14 04:45PM CST	2011-12-14 04:56PM CST	 A22 	2011-12-14 05:53PM PST	2011-12-14 05:47PM PST	 46B 
CO	CO-4843-EWR-PHL	Wed., Dec.14, 2011 2:59 p.m.	Wed., Dec.14, 2011 2:59 p.m.		Wed., Dec.14, 2011 4:18 p.m.	Wed., Dec.14, 2011 4:18 p.m.	
airtravelcenter	CO-4843-EWR-PHL		12/14/11 3:18 PM (-05:00)			12/14/11 4:10 PM (-05:00)	
airtravelcenter	CO-4843-EWR-PHL		12/14/11 3:17 PM (-05:00)			12/14/11 3:45 PM (-05:00)	
myrateplan	CO-4843-EWR-PHL		12/14/11 3:18 PM (-05:00)			12/14/11 4:10 PM (-05:00)	
myrateplan	CO-4843-EWR-PHL		12/14/11 3:17 PM (-05:00)			12/14/11 3:45 PM (-05:00)	
helloflight	CO-4843-EWR-PHL		12/14/11 3:18 PM (-05:00)			12/14/11 4:10 PM (-05:00)	
helloflight	CO-4843-EWR-PHL		12/14/11 3:17 PM (-05:00)			12/14/11 3:45 PM (-05:00)	
flytecomm	CO-4843-EWR-PHL		12/14/11 3:18 PM (-05:00)			12/14/11 4:10 PM (-05:00)	
flytecomm	CO-4843-EWR-PHL		12/14/11 3:17 PM (-05:00)			12/14/11 3:45 PM (-05:00)	
flightaware	CO-4843-EWR-PHL	2011-12-14 02:59PM EST	2011-12-14 03:09PM EST		2011-12-14 03:58PM EST	2011-12-14 04:08PM EST	
flightaware	CO-4843-EWR-PHL	2011-12-14 02:59PM EST	2011-12-14 03:17PM EST		2011-12-14 04:08PM EST	2011-12-14 03:45PM EST	
wunderground	CO-4843-EWR-PHL	2011-12-14 02:59PM EST	2011-12-14 03:09PM EST		2011-12-14 03:58PM EST	2011-12-14 04:08PM EST	
wunderground	CO-4843-EWR-PHL	2011-12-14 02:59PM EST	2011-12-14 03:17PM EST		2011-12-14 04:08PM EST	2011-12-14 03:45PM EST	
flights	CO-4843-EWR-PHL	2011-12-14 02:59 PM		85	2011-12-14 04:18 PM		D1
flights	CO-4843-EWR-PHL		2011-12-14 02:59 PM	85		2011-12-14 03:48 PM	D1
businesstravellogue	CO-4843-EWR-PHL	2011-12-14 02:59 PM		85	2011-12-14 04:18 PM		D1
businesstravellogue	CO-4843-EWR-PHL		2011-12-14 02:59 PM	85		2011-12-14 03:48 PM	D1
flylouisville	CO-4843-EWR-PHL	2011-12-14 02:59 PM		85	2011-12-14 04:18 PM		D1
flylouisville	CO-4843-EWR-PHL		2011-12-14 02:59 PM	85		2011-12-14 03:48 PM	D1
flightstats	CO-4843-EWR-PHL	2011-12-14 2:59 PM	2011-12-14 2:59 PM (Estimated)		2011-12-14 4:18 PM	2011-12-14 4:18 PM (Estimated)	
quicktrip	CO-4843-EWR-PHL	2011-12-14 2:59 PM	2011-12-14 2:59 PM (Estimated)		2011-12-14 4:18 PM	2011-12-14 4:18 PM (Estimated)	
flightview	CO-4843-EWR-PHL	2:59 PMDec 14			4:18 PMDec 14		
flightview	CO-4843-EWR-PHL		3:17 PMDec 14			3:48 PMDec 14	
panynj	CO-4843-EWR-PHL	2:59 PMDec 14			4:18 PMDec 14		
panynj	CO-4843-EWR-PHL		3:17 PMDec 14			3:48 PMDec 14	
gofox	CO-4843-EWR-PHL	2:59 PMDec 14			4:18 PMDec 14		
gofox	CO-4843-EWR-PHL		3:17 PMDec 14			3:48 PMDec 14	
foxbusiness	CO-4843-EWR-PHL	2:59 PMDec 14			4:18 PMDec 14		
foxbusiness	CO-4843-EWR-PHL		3:17 PMDec 14			3:48 PMDec 14	
allegiantair	CO-4843-EWR-PHL	2:59 PMDec 14			4:18 PMDec 14		
allegiantair	CO-4843-EWR-PHL		3:17 PMDec 14			3:48 PMDec 14	
boston	CO-4843-EWR-PHL		3:17 PMDec 14			3:43 PMDec 14	
boston	CO-4843-EWR-PHL	2:59 PMDec 14			3:27 PMDec 14		
orbitz	CO-4843-EWR-PHL	2:59pDec 14		 C85X	4:18pDec 14		 D-1
orbitz	CO-4843-EWR-PHL	2:59pDec 14	2:59pDec 14	 -	4:18pDec 14	3:48pDec 14	 -
phl	CO-4843-EWR-PHL				2011-12-14 4:18 PM		D1
ifly	CO-4843-EWR-PHL	2011-12-14 2:59 PM	2011-12-14 2:59 PM (Estimated)		2011-12-14 4:18 PM	2011-12-14 4:18 PM (Estimated)	
flightwise	CO-4843-EWR-PHL	2011-12-14 02:59PM EST	2011-12-14 03:17PM EST		2011-12-14 04:08PM EST	2011-12-14 03:45PM EST	
flightarrival	CO-4843-EWR-PHL	2:59 PMDec 14			3:27 PMDec 14		
aa	AA-2574-MIA-ATL	December 14, 2011               06:55 PM    	December 14, 2011               08:03 PM    	 D45	December 14, 2011               08:55 PM    	December 14, 2011               09:51 PM    	 T11    
flightexplorer	AA-2574-MIA-ATL		12/13/2011 8:15PM EST			12/14/2011 9:45PM EST	
airtravelcenter	AA-2574-MIA-ATL		12/14/11 8:15 PM (-05:00)			12/14/11 9:45 PM (-05:00)	
myrateplan	AA-2574-MIA-ATL		12/14/11 8:15 PM (-05:00)			12/14/11 9:45 PM (-05:00)	
helloflight	AA-2574-MIA-ATL		12/14/11 8:15 PM (-05:00)			12/14/11 9:45 PM (-05:00)	
flytecomm	AA-2574-MIA-ATL		12/14/11 8:15 PM (-05:00)			12/14/11 9:45 PM (-05:00)	
flightaware	AA-2574-MIA-ATL	2011-12-14 06:55PM EST	2011-12-14 08:15PM EST	 D45 	2011-12-14 08:41PM EST	2011-12-14 09:42PM EST	 T11 
